filepath,target,skip_time,source_dataset,split_tag
/home/jovyan/Thesis/Code/FakeMusicCaps/audioldm2/DEnayQZiPGc.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/lac7/104/104260.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/SONICS/fake_songs/fake_37516_udio_0.mp3,1,9.19409375,SONICS,valid
/home/jovyan/Thesis/Code/SONICS/fake_songs/fake_51106_suno_1.mp3,1,0.03096875,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/lac2/050/050444.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/FakeMusicCaps/MusicGen_medium/13n6n6nKMhI.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/encodec6/081/081082.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/SONICS/real_songs/real_46727.mp3,0,0.03096875,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/036/036430.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/SONICS/real_songs/real_19873.mp3,0,4.283468750000001,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/011/011763.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/FakeMusicCaps/musicldm/hzr2aY33EuI.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/055/055240.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/encodec24/071/071691.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/SONICS/real_songs/real_38458.mp3,0,50.72346875,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/097/097794.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/048/048808.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/musika/018/018145.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/109/109102.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/SONICS/fake_songs/fake_46195_udio_1.mp3,1,1.92096875,SONICS,valid
/home/jovyan/Thesis/Code/SONICS/real_songs/real_49346.mp3,0,98.29409375,SONICS,valid
/home/jovyan/Thesis/Code/SONICS/fake_songs/fake_53081_suno_1.mp3,1,23.875343750000003,SONICS,valid
/home/jovyan/Thesis/Code/FakeMusicCaps/stable_audio_open/BHDhHO7J-Oo.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/FakeMusicCaps/mustango/AwcuLXAPFDs.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/FakeMusicCaps/stable_audio_open/y_TnstfXeBQ.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/SONICS/real_songs/real_20277.mp3,0,15.57284375,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/071/071111.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/lac14/131/131019.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/109/109053.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/FakeMusicCaps/MusicGen_medium/EZi80fUpBfE.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/SONICS/real_songs/real_12307.mp3,0,116.48534375,SONICS,valid
/home/jovyan/Thesis/Code/FakeMusicCaps/MusicGen_medium/xZTlnE6IcYQ.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/SONICS/fake_songs/fake_09709_udio_0.mp3,1,7.995968750000001,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_rebuilt_medium/lac14/062/062207.mp3,1,0.0,FMA,deezer_validation_fake
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/124/124333.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/SONICS/real_songs/real_44505.mp3,0,22.20471875,SONICS,valid
/home/jovyan/Thesis/Code/SONICS/real_songs/real_00794.mp3,0,5.85284375,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/145/145726.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/FakeMusicCaps/mustango/cnmedj0fYTQ.wav,1,0.0,FakeMusicCaps,all_fake
/home/jovyan/Thesis/Code/SONICS/fake_songs/fake_31438_suno_0.mp3,1,0.8240937500000001,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/099/099492.mp3,0,0.0,FMA,deezer_validation_real
/home/jovyan/Thesis/Code/SONICS/real_songs/real_40438.mp3,0,36.869093750000005,SONICS,valid
/home/jovyan/Thesis/Code/deepfake-detector/fma_real_medium/resampled/121/121430.mp3,0,0.0,FMA,deezer_validation_real
